prefix,country_alpha2,carrier_id,carrier_name,length
554999155,BR,vivo,Vivo,11
554999156,BR,vivo,Vivo,11
554999157,BR,vivo,Vivo,11
554999158,BR,vivo,Vivo,11
554999159,BR,vivo,Vivo,11
554999161,BR,vivo,Vivo,11
554999162,BR,vivo,Vivo,11
554999163,BR,vivo,Vivo,11
554999164,BR,vivo,Vivo,11
554999165,BR,vivo,Vivo,11
554999166,BR,vivo,Vivo,11
554999167,BR,vivo,Vivo,11
554999168,BR,vivo,Vivo,11
554999169,BR,vivo,Vivo,11
554999171,BR,vivo,Vivo,11
554999172,BR,vivo,Vivo,11
554999173,BR,vivo,Vivo,11
554999174,BR,vivo,Vivo,11
554999175,BR,vivo,Vivo,11
554999176,BR,vivo,Vivo,11
554999177,BR,vivo,Vivo,11
554999911,BR,tim,TIM,11
554999912,BR,tim,TIM,11
554999913,BR,tim,TIM,11
554999914,BR,tim,TIM,11
554999915,BR,tim,TIM,11
554999916,BR,tim,TIM,11
554999917,BR,tim,TIM,11
554999918,BR,tim,TIM,11
554999919,BR,tim,TIM,11
554999921,BR,tim,TIM,11
554999922,BR,tim,TIM,11
554999923,BR,tim,TIM,11
554999924,BR,tim,TIM,11
554999925,BR,tim,TIM,11
554999926,BR,tim,TIM,11
554999927,BR,tim,TIM,11
554999928,BR,tim,TIM,11
554999929,BR,tim,TIM,11
554999931,BR,tim,TIM,11
554999932,BR,tim,TIM,11
554999939,BR,tim,TIM,11
554999951,BR,tim,TIM,11
